book_id,T0,T1,T2,T3,T4
Chamber of Secrets,0.04329879142866604,8.463031064322196e-06,0.9452487121413435,8.463031064322196e-06,0.011435570367861797
Deathly Hallows,3.997195060900962e-06,3.894660814746257e-06,0.013529971330326735,3.894660814746257e-06,0.986458242152983
Goblet of Fire,4.012212697268763e-06,3.910170779039921e-06,0.9814920125333976,3.910170779039921e-06,0.018496154912347122
Half-Blood Prince,0.9519101860481058,4.359804182240794e-06,0.045583497405038344,4.359804182240794e-06,0.002497596938491385
Order of the Phoenix,3.140892510023755e-06,3.0599837950249406e-06,0.8256129865488897,3.0599837950249406e-06,0.17437775259101015
Prisoner of Azkaban,7.236689897708644e-06,7.047244905724052e-06,0.9999714462667285,7.047244905724052e-06,7.222553562254422e-06
Sorcerer's Stone,9.796996304311864e-06,9.545893455749608e-06,0.9999613147570482,9.545893455749608e-06,9.79645973606897e-06
