term_str,n,n_chars,p,i,n_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,p2,h,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
warn,31,4,2.8017482909335424e-05,15.123313124568744,1,NN,0,warn,warn,warn,0.001062553556126821,0.0004237171670001329,0,1,0,1,0,1,0,0,1,1,-1
mysterious,31,10,2.8017482909335424e-05,15.123313124568744,1,JJ,0,mysteri,mysteri,mystery,0.001062553556126821,0.0004237171670001329,0,1,0,1,0,0,0,0,1,0,0
pop,31,3,2.8017482909335424e-05,15.123313124568744,1,NN,0,pop,pop,pop,0.001062553556126821,0.0004237171670001329,0,0,0,0,0,1,0,0,1,0,-1
stranger,31,8,2.8017482909335424e-05,15.123313124568744,1,NN,0,stranger,stranger,stranger,0.001062553556126821,0.0004237171670001329,0,0,0,1,0,1,0,0,0,0,-1
respect,31,7,2.8017482909335424e-05,15.123313124568744,1,NN,0,respect,respect,respect,0.001062553556126821,0.0004237171670001329,0,1,0,0,1,0,1,0,0,1,1
unknown,31,7,2.8017482909335424e-05,15.123313124568744,2,JJ,0,unknown,unknown,unknown,0.001062553556126821,0.0004237171670001329,0,1,0,1,0,1,0,0,0,0,-1
attacking,30,9,2.711369313806654e-05,15.170618839347101,2,VBG,0,attack,attack,attack,0.0010282776349614395,0.0004113315039246285,1,0,1,1,0,1,0,1,1,0,-1
spirits,30,7,2.711369313806654e-05,15.170618839347101,1,NNS,0,spirit,spirit,spirit,0.0010282776349614395,0.0004113315039246285,0,1,0,0,1,0,1,0,1,0,1
rule,30,4,2.711369313806654e-05,15.170618839347101,1,NN,0,rule,rule,rul,0.0010282776349614395,0.0004113315039246285,0,0,0,1,0,0,0,0,0,1,0
beg,30,3,2.711369313806654e-05,15.170618839347101,1,NN,0,beg,beg,beg,0.0010282776349614395,0.0004113315039246285,0,0,0,0,0,1,0,1,0,0,-1
serpent,30,7,2.711369313806654e-05,15.170618839347101,1,NN,0,serpent,serpent,serp,0.0010282776349614395,0.0004113315039246285,0,0,1,1,0,1,0,0,0,0,-1
eager,30,5,2.711369313806654e-05,15.170618839347101,1,NN,0,eager,eager,eag,0.0010282776349614395,0.0004113315039246285,0,1,0,0,1,0,1,0,1,1,1
worrying,30,8,2.711369313806654e-05,15.170618839347101,2,VBG,0,worri,worri,worry,0.0010282776349614395,0.0004113315039246285,0,1,0,1,0,1,0,1,0,0,-1
examination,30,11,2.711369313806654e-05,15.170618839347101,1,NN,0,examin,examin,examin,0.0010282776349614395,0.0004113315039246285,0,0,0,1,0,1,0,0,1,0,-1
cough,30,5,2.711369313806654e-05,15.170618839347101,1,NN,0,cough,cough,cough,0.0010282776349614395,0.0004113315039246285,0,0,1,0,0,1,0,0,0,0,-1
strained,30,8,2.711369313806654e-05,15.170618839347101,1,VBN,0,strain,strain,strained,0.0010282776349614395,0.0004113315039246285,1,0,0,0,0,1,0,0,0,0,-1
goodness,30,8,2.711369313806654e-05,15.170618839347101,2,NN,0,good,good,good,0.0010282776349614395,0.0004113315039246285,0,1,0,0,1,0,1,0,1,1,1
fancy,30,5,2.711369313806654e-05,15.170618839347101,1,NN,0,fanci,fanci,fant,0.0010282776349614395,0.0004113315039246285,0,1,0,0,1,0,1,0,0,0,1
treasure,30,8,2.711369313806654e-05,15.170618839347101,1,NN,0,treasur,treasur,treas,0.0010282776349614395,0.0004113315039246285,0,1,0,0,1,0,1,0,0,1,1
bane,30,4,2.711369313806654e-05,15.170618839347101,1,NN,0,bane,bane,ban,0.0010282776349614395,0.0004113315039246285,1,0,1,1,0,1,0,0,0,0,-1
pig,30,3,2.711369313806654e-05,15.170618839347101,1,NN,0,pig,pig,pig,0.0010282776349614395,0.0004113315039246285,0,0,1,0,0,1,0,0,0,0,-1
delight,29,7,2.6209903366797656e-05,15.219528439828048,1,NN,0,delight,delight,delight,0.0009940017137960583,0.00039890236969612183,0,1,0,0,1,0,1,0,0,0,1
defend,29,6,2.6209903366797656e-05,15.219528439828048,2,NN,0,defend,defend,defend,0.0009940017137960583,0.00039890236969612183,0,0,0,1,0,0,1,0,0,0,1
shattered,29,9,2.6209903366797656e-05,15.219528439828048,1,VBN,0,shatter,shatter,shat,0.0009940017137960583,0.00039890236969612183,0,0,0,0,0,1,0,1,0,0,-1
crouching,29,9,2.6209903366797656e-05,15.219528439828048,1,VBG,0,crouch,crouch,crouch,0.0009940017137960583,0.00039890236969612183,0,0,0,1,0,1,0,0,0,0,-1
gulp,29,4,2.6209903366797656e-05,15.219528439828048,1,NN,0,gulp,gulp,gulp,0.0009940017137960583,0.00039890236969612183,0,0,0,1,0,0,0,0,1,0,0
distracted,29,10,2.6209903366797656e-05,15.219528439828048,1,VBN,0,distract,distract,distract,0.0009940017137960583,0.00039890236969612183,1,0,0,0,0,1,0,0,0,0,-1
cursed,29,6,2.6209903366797656e-05,15.219528439828048,1,VBN,0,curs,curs,curs,0.0009940017137960583,0.00039890236969612183,1,0,0,1,0,1,0,1,0,0,-1
treat,29,5,2.6209903366797656e-05,15.219528439828048,1,NN,0,treat,treat,tre,0.0009940017137960583,0.00039890236969612183,1,1,1,1,1,1,1,1,1,1,0
understanding,29,13,2.6209903366797656e-05,15.219528439828048,1,VBG,0,understand,understand,understand,0.0009940017137960583,0.00039890236969612183,0,0,0,0,0,0,1,0,0,1,1
struggle,29,8,2.6209903366797656e-05,15.219528439828048,1,NN,0,struggl,struggl,struggle,0.0009940017137960583,0.00039890236969612183,1,0,0,1,0,1,0,1,0,0,-1
public,29,6,2.6209903366797656e-05,15.219528439828048,1,NN,0,public,public,publ,0.0009940017137960583,0.00039890236969612183,0,1,0,0,0,0,1,0,0,0,1
amused,29,6,2.6209903366797656e-05,15.219528439828048,1,VBN,0,amus,amus,amus,0.0009940017137960583,0.00039890236969612183,0,0,0,0,1,0,1,0,0,0,1
cheer,29,5,2.6209903366797656e-05,15.219528439828048,1,NN,0,cheer,cheer,che,0.0009940017137960583,0.00039890236969612183,0,1,0,0,1,0,1,0,1,1,1
comfort,28,7,2.530611359552877e-05,15.270154512898015,1,NN,0,comfort,comfort,comfort,0.0009597257926306769,0.00038642826472467346,0,1,0,0,1,0,1,0,0,1,1
slug,28,4,2.530611359552877e-05,15.270154512898015,1,NN,0,slug,slug,slug,0.0009597257926306769,0.00038642826472467346,0,0,1,0,0,1,0,0,0,0,-1
secrecy,28,7,2.530611359552877e-05,15.270154512898015,1,NN,0,secreci,secreci,secrecy,0.0009597257926306769,0.00038642826472467346,0,0,0,0,0,0,0,0,1,1,0
enjoy,28,5,2.530611359552877e-05,15.270154512898015,1,NN,0,enjoy,enjoy,enjoy,0.0009597257926306769,0.00038642826472467346,0,1,0,0,1,0,1,0,0,1,1
gift,28,4,2.530611359552877e-05,15.270154512898015,2,NN,0,gift,gift,gift,0.0009597257926306769,0.00038642826472467346,0,1,0,0,1,0,1,0,1,0,1
disturbed,28,9,2.530611359552877e-05,15.270154512898015,2,NN,0,disturb,disturb,disturb,0.0009597257926306769,0.00038642826472467346,1,0,0,0,0,1,0,1,0,0,-1
sneaking,28,8,2.530611359552877e-05,15.270154512898015,1,VBG,0,sneak,sneak,sneak,0.0009597257926306769,0.00038642826472467346,0,1,0,1,0,1,0,0,0,1,-1
hood,28,4,2.530611359552877e-05,15.270154512898015,1,NN,0,hood,hood,hood,0.0009597257926306769,0.00038642826472467346,1,0,1,1,0,1,0,0,0,0,-1
urgent,28,6,2.530611359552877e-05,15.270154512898015,2,NN,0,urgent,urgent,urg,0.0009597257926306769,0.00038642826472467346,0,1,0,1,0,1,0,0,1,0,-1
spite,28,5,2.530611359552877e-05,15.270154512898015,1,NN,0,spite,spite,spit,0.0009597257926306769,0.00038642826472467346,1,0,0,0,0,1,0,0,0,0,-1
triumph,28,7,2.530611359552877e-05,15.270154512898015,1,NN,0,triumph,triumph,triumph,0.0009597257926306769,0.00038642826472467346,0,1,0,0,1,0,1,0,0,0,1
shabby,28,6,2.530611359552877e-05,15.270154512898015,1,NN,0,shabbi,shabbi,shabby,0.0009597257926306769,0.00038642826472467346,0,0,1,0,0,1,0,0,0,0,-1
store,27,5,2.4402323824259885e-05,15.322621932792151,1,NN,0,store,store,stor,0.0009254498714652956,0.00037390758224070095,0,1,0,0,0,0,1,0,0,0,1
winning,27,7,2.4402323824259885e-05,15.322621932792151,1,VBG,0,win,win,win,0.0009254498714652956,0.00037390758224070095,0,1,1,0,1,0,1,1,1,1,1
hug,27,3,2.4402323824259885e-05,15.322621932792151,1,NN,0,hug,hug,hug,0.0009254498714652956,0.00037390758224070095,0,0,0,0,1,0,1,0,0,1,1
shudder,27,7,2.4402323824259885e-05,15.322621932792151,1,NN,0,shudder,shudder,shud,0.0009254498714652956,0.00037390758224070095,0,0,0,1,0,1,0,0,0,0,-1
duel,27,4,2.4402323824259885e-05,15.322621932792151,1,NN,0,duel,duel,duel,0.0009254498714652956,0.00037390758224070095,1,1,0,1,0,0,0,0,0,0,0
sweets,27,6,2.4402323824259885e-05,15.322621932792151,1,NNS,0,sweet,sweet,sweet,0.0009254498714652956,0.00037390758224070095,0,1,0,0,1,0,1,0,0,0,1
ridiculous,27,10,2.4402323824259885e-05,15.322621932792151,1,JJ,0,ridicul,ridicul,ridic,0.0009254498714652956,0.00037390758224070095,1,0,1,0,0,1,0,0,0,0,-1
strike,27,6,2.4402323824259885e-05,15.322621932792151,1,NN,0,strike,strike,strike,0.0009254498714652956,0.00037390758224070095,1,0,0,0,0,1,0,0,0,0,-1
wearily,27,7,2.4402323824259885e-05,15.322621932792151,1,RB,0,wearili,wearili,weary,0.0009254498714652956,0.00037390758224070095,0,0,0,0,0,1,0,1,0,0,-1
assured,26,7,2.3498534052991003e-05,15.377069716814527,1,VBN,0,assur,assur,ass,0.0008911739502999143,0.00036133859637578285,0,0,0,0,0,0,1,0,0,1,1
gloomy,26,6,2.3498534052991003e-05,15.377069716814527,2,NN,0,gloomi,gloomi,gloom,0.0008911739502999143,0.00036133859637578285,0,0,0,0,0,1,0,1,0,0,-1
violently,26,9,2.3498534052991003e-05,15.377069716814527,1,RB,0,violent,violent,viol,0.0008911739502999143,0.00036133859637578285,1,0,1,1,0,1,0,1,0,0,-1
caretaker,26,9,2.3498534052991003e-05,15.377069716814527,1,NN,0,caretak,caretak,caretak,0.0008911739502999143,0.00036133859637578285,0,0,0,0,0,0,1,0,0,1,1
amusing,26,7,2.3498534052991003e-05,15.377069716814527,1,VBG,0,amus,amus,amus,0.0008911739502999143,0.00036133859637578285,0,0,0,0,1,0,1,0,0,0,1
storm,26,5,2.3498534052991003e-05,15.377069716814527,1,NN,0,storm,storm,storm,0.0008911739502999143,0.00036133859637578285,1,0,0,0,0,1,0,0,0,0,-1
grief,26,5,2.3498534052991003e-05,15.377069716814527,1,NN,0,grief,grief,grief,0.0008911739502999143,0.00036133859637578285,0,0,0,0,0,1,0,1,0,0,-1
punishment,26,10,2.3498534052991003e-05,15.377069716814527,1,NN,0,punish,punish,pun,0.0008911739502999143,0.00036133859637578285,1,0,1,1,0,1,0,0,0,0,-1
thief,26,5,2.3498534052991003e-05,15.377069716814527,1,NN,0,thief,thief,thief,0.0008911739502999143,0.00036133859637578285,1,0,1,1,0,1,0,1,1,0,-1
honest,26,6,2.3498534052991003e-05,15.377069716814527,2,NN,0,honest,honest,honest,0.0008911739502999143,0.00036133859637578285,1,0,1,1,1,0,1,1,0,1,1
music,26,5,2.3498534052991003e-05,15.377069716814527,2,NN,0,music,music,mus,0.0008911739502999143,0.00036133859637578285,0,0,0,0,1,0,1,1,0,0,1
pleasant,25,8,2.2594744281722117e-05,15.433653245180896,1,NN,0,pleasant,pleasant,pleas,0.000856898029134533,0.00034871944840763307,0,1,0,0,1,0,1,0,1,1,1
star,25,4,2.2594744281722117e-05,15.433653245180896,1,NN,0,star,star,star,0.000856898029134533,0.00034871944840763307,0,1,0,0,1,0,1,0,0,1,1
confidence,25,10,2.2594744281722117e-05,15.433653245180896,1,NN,0,confid,confid,confid,0.000856898029134533,0.00034871944840763307,0,0,0,1,1,0,1,0,0,1,1
disappointment,25,14,2.2594744281722117e-05,15.433653245180896,1,NN,0,disappoint,disappoint,disappoint,0.000856898029134533,0.00034871944840763307,0,0,1,0,0,1,0,1,0,0,-1
heavens,25,7,2.2594744281722117e-05,15.433653245180896,3,NNS,0,heaven,heaven,heav,0.000856898029134533,0.00034871944840763307,0,0,0,0,1,0,1,0,0,1,1
hatred,25,6,2.2594744281722117e-05,15.433653245180896,1,VBN,0,hatr,hatr,hat,0.000856898029134533,0.00034871944840763307,1,0,1,1,0,1,0,1,0,0,-1
dread,25,5,2.2594744281722117e-05,15.433653245180896,1,NN,0,dread,dread,dread,0.000856898029134533,0.00034871944840763307,0,1,0,1,0,1,0,0,0,0,-1
noble,25,5,2.2594744281722117e-05,15.433653245180896,1,JJ,0,nobl,nobl,nobl,0.000856898029134533,0.00034871944840763307,0,0,0,0,0,0,1,0,0,1,1
fierce,25,6,2.2594744281722117e-05,15.433653245180896,1,NN,0,fierc,fierc,fierc,0.000856898029134533,0.00034871944840763307,1,0,1,1,0,1,0,0,0,0,-1
fairly,25,6,2.2594744281722117e-05,15.433653245180896,1,RB,0,fairli,fair,fair,0.000856898029134533,0.00034871944840763307,0,0,0,0,0,0,1,0,0,1,1
muddy,25,5,2.2594744281722117e-05,15.433653245180896,1,NN,0,muddi,muddi,muddy,0.000856898029134533,0.00034871944840763307,0,0,1,0,0,1,0,0,0,0,-1
agony,25,5,2.2594744281722117e-05,15.433653245180896,1,NN,0,agoni,agoni,agony,0.000856898029134533,0.00034871944840763307,1,0,0,1,0,1,0,1,0,0,-1
longing,25,7,2.2594744281722117e-05,15.433653245180896,1,NN,0,long,long,long,0.000856898029134533,0.00034871944840763307,0,1,0,0,0,0,0,1,0,0,0
ghostly,25,7,2.2594744281722117e-05,15.433653245180896,1,RB,0,ghostli,ghost,ghost,0.000856898029134533,0.00034871944840763307,0,0,0,1,0,1,0,0,0,0,-1
violent,24,7,2.1690954510453232e-05,15.492546934234463,2,NN,0,violent,violent,viol,0.0008226221079691517,0.0003360481308015414,1,0,1,1,0,1,0,0,1,0,-1
curiosity,24,9,2.1690954510453232e-05,15.492546934234463,1,NN,0,curios,curios,curios,0.0008226221079691517,0.0003360481308015414,0,1,0,0,0,0,1,0,1,0,1
torture,24,7,2.1690954510453232e-05,15.492546934234463,1,NN,0,tortur,tortur,tort,0.0008226221079691517,0.0003360481308015414,1,1,1,1,0,1,0,1,0,0,-1
general,24,7,2.1690954510453232e-05,15.492546934234463,2,JJ,0,gener,general,gen,0.0008226221079691517,0.0003360481308015414,0,0,0,0,0,0,1,0,0,1,1
gloom,24,5,2.1690954510453232e-05,15.492546934234463,1,NN,0,gloom,gloom,gloom,0.0008226221079691517,0.0003360481308015414,0,0,0,0,0,1,0,1,0,0,-1
shack,24,5,2.1690954510453232e-05,15.492546934234463,1,NN,0,shack,shack,shack,0.0008226221079691517,0.0003360481308015414,0,0,1,0,0,1,0,1,0,0,-1
confident,24,9,2.1690954510453232e-05,15.492546934234463,3,NN,0,confid,confid,confid,0.0008226221079691517,0.0003360481308015414,0,0,0,0,1,0,1,0,0,1,1
departed,24,8,2.1690954510453232e-05,15.492546934234463,1,VBN,0,depart,depart,depart,0.0008226221079691517,0.0003360481308015414,0,0,0,0,0,1,0,1,0,0,-1
swelling,24,8,2.1690954510453232e-05,15.492546934234463,1,VBG,0,swell,swell,swel,0.0008226221079691517,0.0003360481308015414,0,0,0,1,0,1,0,0,0,0,-1
battered,24,8,2.1690954510453232e-05,15.492546934234463,1,VBN,0,batter,batter,bat,0.0008226221079691517,0.0003360481308015414,0,0,0,1,0,1,0,1,0,0,-1
possess,24,7,2.1690954510453232e-05,15.492546934234463,1,NN,0,possess,possess,possess,0.0008226221079691517,0.0003360481308015414,0,1,0,0,1,0,1,0,0,1,1
grow,24,4,2.1690954510453232e-05,15.492546934234463,2,NN,0,grow,grow,grow,0.0008226221079691517,0.0003360481308015414,0,1,0,0,1,0,1,0,0,1,1
intended,24,8,2.1690954510453232e-05,15.492546934234463,1,VBN,0,intend,intend,intend,0.0008226221079691517,0.0003360481308015414,0,1,0,0,0,0,1,0,0,0,1
witchcraft,24,10,2.1690954510453232e-05,15.492546934234463,1,NN,0,witchcraft,witchcraft,witchcraft,0.0008226221079691517,0.0003360481308015414,1,0,0,1,0,1,0,1,0,0,-1
thundering,23,10,2.0787164739184346e-05,15.553947478898607,1,VBG,0,thunder,thunder,thund,0.0007883461868037704,0.0003233224685884864,1,0,0,1,0,1,0,0,0,0,-1
insane,23,6,2.0787164739184346e-05,15.553947478898607,1,NN,0,insan,insan,ins,0.0007883461868037704,0.0003233224685884864,1,0,0,1,0,1,0,0,0,0,-1
hopeful,23,7,2.0787164739184346e-05,15.553947478898607,1,NN,0,hope,hope,hop,0.0007883461868037704,0.0003233224685884864,0,1,0,0,1,0,1,0,1,1,1
damn,23,4,2.0787164739184346e-05,15.553947478898607,1,NN,0,damn,damn,damn,0.0007883461868037704,0.0003233224685884864,1,0,1,0,0,1,0,0,0,0,-1
disgust,23,7,2.0787164739184346e-05,15.553947478898607,1,NN,0,disgust,disgust,disgust,0.0007883461868037704,0.0003233224685884864,1,0,1,1,0,1,0,1,0,0,-1
worn,23,4,2.0787164739184346e-05,15.553947478898607,1,NN,0,worn,worn,worn,0.0007883461868037704,0.0003233224685884864,0,0,0,0,0,1,0,1,0,0,-1
complain,23,8,2.0787164739184346e-05,15.553947478898607,1,NN,0,complain,complain,complain,0.0007883461868037704,0.0003233224685884864,1,0,0,0,0,1,0,1,0,0,-1
war,23,3,2.0787164739184346e-05,15.553947478898607,2,NN,0,war,war,war,0.0007883461868037704,0.0003233224685884864,0,0,0,1,0,1,0,0,0,0,-1
unexpected,23,10,2.0787164739184346e-05,15.553947478898607,2,JJ,0,unexpect,unexpect,unexpect,0.0007883461868037704,0.0003233224685884864,0,1,0,1,1,1,1,0,1,0,0
pride,23,5,2.0787164739184346e-05,15.553947478898607,1,NN,0,pride,pride,prid,0.0007883461868037704,0.0003233224685884864,0,0,0,0,1,0,1,0,0,0,1
deadly,23,6,2.0787164739184346e-05,15.553947478898607,1,RB,0,deadli,dead,dead,0.0007883461868037704,0.0003233224685884864,1,0,1,1,0,1,0,1,0,0,-1
mistress,23,8,2.0787164739184346e-05,15.553947478898607,1,NN,0,mistress,mistress,mistress,0.0007883461868037704,0.0003233224685884864,1,0,1,0,0,1,0,0,0,0,-1
disgusting,23,10,2.0787164739184346e-05,15.553947478898607,1,VBG,0,disgust,disgust,disgust,0.0007883461868037704,0.0003233224685884864,1,0,1,1,0,1,0,0,0,0,-1
harm,23,4,2.0787164739184346e-05,15.553947478898607,1,NN,0,harm,harm,harm,0.0007883461868037704,0.0003233224685884864,0,0,0,1,0,1,0,0,0,0,-1
nightmare,22,9,1.9883374967915464e-05,15.618077816318323,1,NN,0,nightmar,nightmar,nightm,0.000754070265638389,0.00031054009749993954,0,0,0,1,0,1,0,0,0,0,-1
constant,22,8,1.9883374967915464e-05,15.618077816318323,2,JJ,0,constant,constant,const,0.000754070265638389,0.00031054009749993954,0,0,0,0,0,0,1,0,0,1,1
aching,22,6,1.9883374967915464e-05,15.618077816318323,1,VBG,0,ach,ach,ach,0.000754070265638389,0.00031054009749993954,0,0,0,0,0,1,0,1,0,0,-1
fright,22,6,1.9883374967915464e-05,15.618077816318323,1,NN,0,fright,fright,fright,0.000754070265638389,0.00031054009749993954,0,0,0,1,0,1,0,0,1,0,-1
ruined,22,6,1.9883374967915464e-05,15.618077816318323,1,VBN,0,ruin,ruin,ruin,0.000754070265638389,0.00031054009749993954,1,0,1,1,0,1,0,1,0,0,-1
kick,22,4,1.9883374967915464e-05,15.618077816318323,1,NN,0,kick,kick,kick,0.000754070265638389,0.00031054009749993954,1,0,0,0,0,1,0,0,0,0,-1
merry,22,5,1.9883374967915464e-05,15.618077816318323,2,NN,0,merri,merri,merry,0.000754070265638389,0.00031054009749993954,0,0,0,0,1,0,1,0,0,0,1
friendship,22,10,1.9883374967915464e-05,15.618077816318323,1,NN,0,friendship,friendship,friend,0.000754070265638389,0.00031054009749993954,0,0,0,0,1,0,1,0,0,1,1
triumphant,22,10,1.9883374967915464e-05,15.618077816318323,1,NN,0,triumphant,triumphant,triumph,0.000754070265638389,0.00031054009749993954,0,1,0,0,1,0,1,0,0,1,1
deny,22,4,1.9883374967915464e-05,15.618077816318323,1,NN,0,deni,deni,deny,0.000754070265638389,0.00031054009749993954,1,0,0,0,0,1,0,0,0,0,-1
experienced,22,11,1.9883374967915464e-05,15.618077816318323,1,JJ,0,experienc,experienc,expery,0.000754070265638389,0.00031054009749993954,0,0,0,0,0,0,1,0,0,1,1
authority,22,9,1.9883374967915464e-05,15.618077816318323,1,NN,0,author,author,auth,0.000754070265638389,0.00031054009749993954,0,0,0,0,0,0,1,0,0,1,1
punish,22,6,1.9883374967915464e-05,15.618077816318323,1,NN,0,punish,punish,pun,0.000754070265638389,0.00031054009749993954,0,0,0,1,0,1,0,0,0,0,-1
exchange,21,8,1.897958519664658e-05,15.68519201217686,1,NN,0,exchang,exchang,exchang,0.0007197943444730077,0.00029769843812087107,0,0,0,0,0,0,1,0,0,1,1
hog,21,3,1.897958519664658e-05,15.68519201217686,1,NN,0,hog,hog,hog,0.0007197943444730077,0.00029769843812087107,0,0,1,0,0,1,0,0,0,0,-1
invitation,21,10,1.897958519664658e-05,15.68519201217686,1,NN,0,invit,invit,invit,0.0007197943444730077,0.00029769843812087107,0,1,0,0,0,0,1,0,0,0,1
defeated,21,8,1.897958519664658e-05,15.68519201217686,1,VBN,0,defeat,defeat,def,0.0007197943444730077,0.00029769843812087107,0,0,0,0,0,1,0,1,0,0,-1
sob,21,3,1.897958519664658e-05,15.68519201217686,1,NN,0,sob,sob,sob,0.0007197943444730077,0.00029769843812087107,0,0,0,0,0,1,0,1,0,0,-1
beam,21,4,1.897958519664658e-05,15.68519201217686,1,NN,0,beam,beam,beam,0.0007197943444730077,0.00029769843812087107,0,0,0,0,1,0,1,0,0,0,1
suffering,21,9,1.897958519664658e-05,15.68519201217686,1,VBG,0,suffer,suffer,suff,0.0007197943444730077,0.00029769843812087107,0,0,1,1,0,1,0,1,0,0,-1
bout,21,4,1.897958519664658e-05,15.68519201217686,2,NN,0,bout,bout,bout,0.0007197943444730077,0.00029769843812087107,1,0,0,0,0,1,0,0,0,0,-1
score,21,5,1.897958519664658e-05,15.68519201217686,1,NN,0,score,score,scor,0.0007197943444730077,0.00029769843812087107,0,1,0,0,1,0,1,0,1,0,1
piles,21,5,1.897958519664658e-05,15.68519201217686,1,NNS,0,pile,pile,pil,0.0007197943444730077,0.00029769843812087107,0,0,1,0,0,1,0,0,0,0,-1
shopping,21,8,1.897958519664658e-05,15.68519201217686,1,NN,0,shop,shop,shop,0.0007197943444730077,0.00029769843812087107,0,1,0,0,1,0,1,0,1,1,1
pathetic,21,8,1.897958519664658e-05,15.68519201217686,3,JJ,0,pathet,pathet,pathet,0.0007197943444730077,0.00029769843812087107,0,0,1,0,0,1,0,1,0,0,-1
enemy,21,5,1.897958519664658e-05,15.68519201217686,1,NN,0,enemi,enemi,enemy,0.0007197943444730077,0.00029769843812087107,1,0,1,1,0,1,0,0,0,0,-1
guilt,21,5,1.897958519664658e-05,15.68519201217686,1,NN,0,guilt,guilt,guilt,0.0007197943444730077,0.00029769843812087107,0,0,1,0,0,1,0,1,0,0,-1
career,21,6,1.897958519664658e-05,15.68519201217686,1,NN,0,career,career,car,0.0007197943444730077,0.00029769843812087107,0,1,0,0,0,0,1,0,0,0,1
inter,21,5,1.897958519664658e-05,15.68519201217686,1,NN,0,inter,inter,int,0.0007197943444730077,0.00029769843812087107,0,0,0,0,0,1,0,1,0,0,-1
church,20,6,1.8075795425377693e-05,15.755581340068257,1,NN,0,church,church,church,0.0006855184233076263,0.00028479466511097194,0,1,0,0,1,0,1,0,0,1,1
ominous,20,7,1.8075795425377693e-05,15.755581340068257,1,JJ,0,omin,omin,omin,0.0006855184233076263,0.00028479466511097194,0,1,0,1,0,1,0,0,0,0,-1
pointless,20,9,1.8075795425377693e-05,15.755581340068257,1,NN,0,pointless,pointless,pointless,0.0006855184233076263,0.00028479466511097194,0,0,0,0,0,1,0,1,0,0,-1
enthusiasm,20,10,1.8075795425377693e-05,15.755581340068257,1,NN,0,enthusiasm,enthusiasm,enthusiasm,0.0006855184233076263,0.00028479466511097194,0,1,0,0,1,0,1,0,1,0,1
spectacular,20,11,1.8075795425377693e-05,15.755581340068257,1,NN,0,spectacular,spectacular,spectacul,0.0006855184233076263,0.00028479466511097194,0,1,0,0,0,0,0,0,1,0,0
livid,20,5,1.8075795425377693e-05,15.755581340068257,1,NN,0,livid,livid,livid,0.0006855184233076263,0.00028479466511097194,1,0,1,0,0,1,0,0,0,0,-1
bothering,20,9,1.8075795425377693e-05,15.755581340068257,1,VBG,0,bother,bother,both,0.0006855184233076263,0.00028479466511097194,1,0,0,0,0,1,0,1,0,0,-1
cream,20,5,1.8075795425377693e-05,15.755581340068257,1,NN,0,cream,cream,cream,0.0006855184233076263,0.00028479466511097194,0,1,0,0,1,0,1,0,1,0,1
stealing,20,8,1.8075795425377693e-05,15.755581340068257,2,VBG,0,steal,steal,ste,0.0006855184233076263,0.00028479466511097194,0,0,1,1,0,1,0,0,0,0,-1
blackness,20,9,1.8075795425377693e-05,15.755581340068257,1,NN,0,black,black,black,0.0006855184233076263,0.00028479466511097194,0,0,0,1,0,1,0,1,0,0,-1
ambition,20,8,1.8075795425377693e-05,15.755581340068257,1,NN,0,ambit,ambit,ambit,0.0006855184233076263,0.00028479466511097194,0,1,0,0,1,0,1,0,0,1,1
heartily,20,8,1.8075795425377693e-05,15.755581340068257,1,RB,0,heartili,heartili,hearty,0.0006855184233076263,0.00028479466511097194,0,0,0,0,1,0,1,0,0,0,1
vicious,20,7,1.8075795425377693e-05,15.755581340068257,1,JJ,0,viciou,vicious,vicy,0.0006855184233076263,0.00028479466511097194,1,0,1,0,0,1,0,0,0,0,-1
beast,20,5,1.8075795425377693e-05,15.755581340068257,1,NN,0,beast,beast,beast,0.0006855184233076263,0.00028479466511097194,1,0,0,1,0,1,0,0,0,0,-1
untidy,20,6,1.8075795425377693e-05,15.755581340068257,1,NN,0,untidi,untidi,untidy,0.0006855184233076263,0.00028479466511097194,0,0,1,0,0,1,0,0,0,0,-1
god,20,3,1.8075795425377693e-05,15.755581340068257,2,NNP,0,god,god,god,0.0006855184233076263,0.00028479466511097194,0,1,0,1,1,0,1,0,0,1,1
gasping,20,7,1.8075795425377693e-05,15.755581340068257,1,VBG,0,gasp,gasp,gasp,0.0006855184233076263,0.00028479466511097194,0,0,0,1,0,1,0,0,0,0,-1
mug,20,3,1.8075795425377693e-05,15.755581340068257,1,NN,0,mug,mug,mug,0.0006855184233076263,0.00028479466511097194,1,0,0,1,0,1,1,1,0,0,0
starry,19,6,1.7172005654108808e-05,15.829581921512034,1,NN,0,starri,starri,starry,0.0006512425021422451,0.0002718256702583832,0,1,0,0,1,0,1,0,0,0,1
liar,19,4,1.7172005654108808e-05,15.829581921512034,1,NN,0,liar,liar,liar,0.0006512425021422451,0.0002718256702583832,0,0,1,0,0,1,0,0,0,0,-1
wasted,19,6,1.7172005654108808e-05,15.829581921512034,1,VBN,0,wast,wast,wast,0.0006512425021422451,0.0002718256702583832,1,0,1,0,0,1,0,0,0,0,-1
groan,19,5,1.7172005654108808e-05,15.829581921512034,1,NN,0,groan,groan,gro,0.0006512425021422451,0.0002718256702583832,0,0,1,0,0,1,0,1,0,0,-1
