book_id,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
Chamber of Secrets,0.031852629124402475,0.011297656523259881,0.011787338230150402,0.01771015506587385,0.013256383350821965,0.04626326221289495,0.023084994753410283,0.033379969686370525,0.009408884225253586,0.017803427771948235,-0.023178267459484668
Deathly Hallows,0.031469420095579334,0.013120979115068944,0.013554524570067424,0.021074295737799682,0.012483119135301065,0.047361103497765,0.02161249009572883,0.03358233127856043,0.010504756541802253,0.016619242441608405,-0.02574861340203617
Goblet of Fire,0.030177689828226367,0.012536211187726957,0.010383940593251458,0.015341303194744787,0.01281672038842874,0.0420967807744094,0.02408809008935493,0.03113142111061243,0.009098698437308744,0.018906320127300175,-0.01800869068505447
Half-Blood Prince,0.027430428869945934,0.012012559841675235,0.010210399460457506,0.01476555330746183,0.012581954072550776,0.04023350691565226,0.024102513073954914,0.029326566939754772,0.009397768859110861,0.01893926830077283,-0.016130993841697347
Order of the Phoenix,0.02884622824732855,0.012531241053258741,0.011420877921957335,0.01706941510558122,0.012597011691698199,0.04217445468403012,0.022837886982829996,0.03021580507130311,0.009296873186471367,0.017707777184552412,-0.01933656770120012
Prisoner of Azkaban,0.030321097010476108,0.011327825568520569,0.010116495850249364,0.01574728633752567,0.011488705296728463,0.04615355496881772,0.024254984905696088,0.03527997804464886,0.008819994511162214,0.019532691707123188,-0.021898570063121636
Sorcerer's Stone,0.028529061367265723,0.011241793617398799,0.009923702821221262,0.013535778560746243,0.012559884413576335,0.040404552482826796,0.02320600238270259,0.029175432815391245,0.008428176725558288,0.01826316189703683,-0.017198550100124204
