term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
slughorn,-0.09802823430078758,0.4940098747676333,0.09636379625242873,-0.011874469173601427,-0.08539555606495154,-0.019564412178705807,0.0,0.0,0.0,0.0
dont,0.3365906734502853,-0.058436294516293175,0.019919596233868353,-0.0209325554928382,-0.03791650067580448,-0.03800646354306364,0.0004532421065387952,-0.0029033898629056017,0.0006121793760722617,0.0007001445975983898
lupin,-0.13920802143777244,-0.1701914416260303,0.19111084492810834,0.49474027994601466,0.01116572204666122,0.019863772400731602,-0.0009912484471900436,-0.002824952332816021,0.00037849048653707613,0.0010261834350382307
umbridge,0.25911242474206353,-0.03776434903866127,0.026078756605061842,0.03049363089189966,0.040779146652202614,-0.5966175495702221,0.0003825604007289634,0.000721878473829657,0.00015422936709445355,-0.0007300210372222324
ng,-0.0627521810914167,0.29510062985085384,0.055950525710676595,-0.0072392063196305145,-0.06509119382907319,-0.019355691620419502,0.000981732231875273,-0.0015197675257883495,0.0005880624579862617,-5.6707604553280725e-05
ve,-0.1700608920174854,-0.0876017518763329,0.06773933694152035,-0.04252862152702408,0.014760786035551116,0.002094220973930222,-6.472642309520884e-05,-0.0002329160534709166,-0.0005708209517868979,0.00045935419285943646
bagman,-0.11999771356203454,-0.0279226762002137,-0.43630050961882116,-0.0018246566872248682,0.04130688501053662,-0.019928441251472882,-0.0019474832928194187,-0.0031400485413071205,-0.0005242243641830511,-0.0017934612290872308
nd,-0.05199466433288797,0.24451195044784999,0.04635900701741787,-0.0059981995219795595,-0.05393270345837485,-0.016037573056919278,-0.0015628022637739073,-0.002702040045017826,-8.26937723064053e-05,0.0013860102694307054
harrys,0.16476329985735172,-0.027364929391197692,-0.011463627513962118,-0.015104833176118772,-0.06051277157116966,-0.002080180569719803,0.0005873779329977543,-0.002113657875061769,-0.0008885952495621449,-0.00015049674710972022
luna,0.11043310122252194,0.0513004849712345,0.03886005366031641,0.008731041372072293,0.17161919422743763,-0.07450362508683808,0.0008576168684170732,-0.00028712486935585134,0.001446534140980092,0.0017975224925757616
lockhart,0.18606888827661228,-0.056171094979501374,-0.022482732450843382,-0.05450111487120953,-0.29924724137553077,0.3022071978022036,0.0007435481828425582,0.0061439348071925855,-0.0003565396204551623,-0.0009116400359592152
youre,0.1693416362276322,-0.03193361734459025,0.012119406994111747,-0.0042179387424451376,-0.013685740337504228,-0.043753791181850146,-0.0011024682210380137,0.005492862938439149,0.0019464561581711826,-0.001966127087921357
th,-0.03970479619289095,0.18833353139580183,0.03780164441179035,-0.008754957689697515,-0.04518311127553694,-0.01241757239921416,0.0010297122070537018,0.00328851889489207,0.0005114002083663546,-0.0014300968244122996
kreacher,0.08867163126704727,0.0535484584670121,0.03589433968169153,0.006358523969554219,0.16102266200636406,-0.03346497382962755,-0.0002650590209555297,-0.006108859662526756,0.0008507578419660281,-0.001913663547288914
thats,0.15394769910800976,-0.028505498571567565,0.006424986466453459,-0.010051796538172812,-0.02474124558666718,-0.018115815262975888,0.00024165459946978263,-0.0019622384450455133,-0.0006149920451274538,-0.0006303968901096204
ive,0.15328459239136558,-0.02832863795883536,0.005363517927635108,-0.014200981323234548,-0.054257354307943845,0.011192672854281034,-0.0013558994180144373,0.002910869155594131,-0.0014038668085946113,0.002017618224530629
im,0.14455277517039813,-0.0237914466054294,0.009786736114004426,-0.006685646758980969,-0.020261803233410498,-0.018905306321063197,0.0005842533360546272,-0.0005211079646265163,-0.0004753593334227417,0.0007401982812238247
dobby,0.0695610564344042,-0.017015048643198707,-0.09010523054028899,-0.022880876950416556,-0.10415743571694003,0.11229520165785652,0.0006467207443496911,0.000157058032458007,-0.0001428857191771666,0.0020502692544832734
winky,-0.08019405334099974,-0.019500123420509417,-0.2983850209734651,-0.0010137773593412412,0.028196902888223244,-0.018473030923907428,0.0014829355289805938,-0.00642559684645013,-0.0005698090172923126,0.001033138416552506
wa,-0.03496192946521791,0.16441320805976148,0.03117243575309138,-0.004033272092365546,-0.036265093704769345,-0.010783885331376747,0.000517298977137741,-0.0018739297689524146,-0.003896045638964501,-0.00011683996134383848
wasnt,0.13684891626369178,-0.03205396088494468,-0.0020365426121088763,-0.021971077459029674,-0.10538054218345241,0.0839850130507671,0.0005707866892209004,-0.002069976340955307,-0.0022061329668537936,0.0020206510875332654
eaters,0.04470216064329301,0.03698925156660356,-0.02586224538978783,0.0035696377696731165,0.1287048275387612,-0.004555242605598582,-1.4481180235266706e-05,-0.0010428224315441044,-0.00046291266434071254,0.00017724147928037238
tonks,0.06720372802393103,0.05096461492200792,0.026936445186888078,0.0056560203051452245,0.08768359217123219,-0.07355182211208652,0.0013361940904890585,-0.0078353604993609,0.0005309586079829101,0.004879062184733093
pettigrew,-0.1147244976491462,-0.11581305406661248,0.11283897269196662,0.3058866377826321,-0.031744385809922455,0.03872172395321365,-0.0008336527113129635,0.002169676889266102,-0.0010503554940120856,-0.0003707016379638681
weve,0.12465058660564203,-0.024276441593317495,0.00485862914260519,-0.010165327530268591,-0.0355846517887054,-0.0009917397252779143,-0.0016066488752640505,-0.002471030287083692,-0.0006147709802397833,0.00047489717322662207
griphook,0.027512222940558773,-0.029464528388170826,0.0761591283446043,-0.08707119652503736,0.2627492943559346,0.12976344418710245,-0.00032682997811056655,0.0011881892521684334,-0.000641255133846279,-0.0005298110231806409
horcrux,0.04413151312764689,0.07162476015959744,0.03641100524274383,0.0003079086506970752,0.18347195662118793,0.10383958680212473,0.0013299904211209797,-0.0011007023291450977,0.0021768739163474417,-0.0021672195477844326
theyre,0.11601099543917048,-0.01924263617296691,0.00860766891030188,-0.005025344236639452,0.004046499798015224,-0.026725081543978107,0.0008002188958615194,-0.00048099787560827603,0.0011949503711938903,0.00134371305487076
champions,-0.07115600894232561,-0.016183724689479984,-0.25568565363385654,-0.0011735457575817985,0.02423062450999177,-0.009521755027243792,5.4074829060199274e-05,0.0020135893050137257,0.0005045972724680933,-0.001297970924425393
quirrell,-0.20231006731522916,-0.18999899858208708,0.18094303164341713,-0.37755513096423904,0.0028515824893053827,-0.06245984553904271,-0.0009059495664341884,0.0007525017810066038,0.0013240754049599819,-0.0031987835777779173
sirius,0.012549106372155682,-0.032510331155475455,-0.019570413648864665,0.07284007989908041,0.004836074099256988,-0.12176680922539157,-0.00787255982460622,-0.015839790139418962,0.005977962061232742,-0.009099590842092421
mclaggen,-0.029583171085953555,0.13911886835825957,0.026376676406461932,-0.0034127686935400553,-0.03068584851942021,-0.009124826049626415,-0.0037255954119928096,-0.01553413953638019,-0.0029368211171487933,0.008883671608344378
hes,0.10836989875770241,-0.020039606034026918,0.00527904239198848,-0.002953609832929206,-0.020148016621367257,-0.0709160801446731,0.0029348818127741387,-0.005504497618147402,-0.000632589350490005,0.008528283639635089
moody,-0.030762831314981483,-0.012192535639639254,-0.18166441699821023,0.0010740728184833023,0.030340328190677304,-0.03947699533643945,0.002642477120736201,-0.004557102700782458,-0.0015922705608186559,0.005044865035850726
xenophilius,0.08447474423941698,0.017712389637228668,0.03729633287464818,0.002635023977448149,0.2923059158452193,0.1601777049991033,0.0008118818145870116,-0.00043094186596479055,-0.0009390736406716336,0.002267992318998536
rry,-0.02779025162619883,0.13068742179109238,0.024778089957585445,-0.0032059342272649158,-0.028826100124303807,-0.008571806289043119,-0.0049487772288626,0.01641420798302283,-0.0008322476903654341,-0.010156426498338735
morfin,-0.026893791896321448,0.12647169850750878,0.023978796733147227,-0.0031025169941273304,-0.027896225926745625,-0.008295296408751348,-0.003097275254456793,-0.013239192971887892,-0.004851638668050605,0.005021188639409029
shes,0.10103357013221706,-0.017823233553612317,0.0072586024364439125,-0.0008374893404282523,0.0003739573866781633,-0.07384334858876872,0.0021729953051804252,-0.0033770454228339688,-0.004266968891701173,0.0075121426802479225
whats,0.10109207221450578,-0.02089073293746386,0.001869313644013678,-0.009174233725972935,-0.040101774993997606,0.0010942566331503785,-0.0055740659748219675,-0.008058831303581523,-0.005045089844677668,-0.006669431694909867
bellatrix,0.05178488053437216,0.03918894035261163,0.024370499100052675,0.0031634156098906793,0.11406181170210548,0.004061754194388226,-0.007097393849670943,0.006083685677239153,0.0009036508402280987,0.002968844195928147
ludo,-0.05957247260287735,-0.013549164856308915,-0.21406240769346113,-0.0009825034249522813,0.02028610424092342,-0.007971701883273926,-0.013470655354734148,-0.01166651726483764,0.002008316552631986,-0.003285655521866178
ed,-0.02365401289158496,0.11776097509791805,0.022487845709920313,-0.002717847622649433,-0.026091049160181425,-0.011420369754109707,0.007562905646115219,0.00265164182793809,-0.000694350024310156,0.009030242809122995
riddle,0.05227429137362455,0.022065840463800064,-0.005958812747468446,-0.017907552810040094,-0.085003771518029,0.10076127234102111,-0.01156423901616212,0.028217859994298076,-0.01302998149621366,0.005370047933431822
towards,0.08551611438545786,-0.004832040892008688,0.00858330401754313,0.010379363573796454,0.0009070067367339974,-0.2165051235387551,0.0005649449814303821,-0.015901435164413488,-0.0014884451996958154,-0.004189812037391271
theres,0.09413323040504519,-0.014472214344801788,0.00766587441187338,-0.005881235609746498,0.010143341661297971,0.008888042130457883,0.0053397142802541426,-0.004966003447619009,0.001709063480238105,-0.0016685653700613972
