,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Chamber of Secrets ,0.5531116179526916,-0.12592750765146765,-0.044940890014640175,-0.11063829817030861,-0.49852181299491266,0.3605268224437319,-2.6020852139652106e-18,-8.890457814381136e-18,-4.7704895589362195e-18,-9.540979117872439e-18
Deathly Hallows ,0.3486248008534459,0.05476171785624184,0.11467834856568569,0.007353732494828593,0.6719579929828318,0.25937733772111704,3.469446951953614e-18,-7.806255641895632e-18,-3.787931340121231e-18,-4.7704895589362195e-18
Goblet of Fire ,-0.3238412085877257,-0.05517819947355303,-0.8669834267443313,-0.003611706251585578,0.06142685266755079,-0.017003412947200147,-3.903127820947816e-18,-1.734723475976807e-18,9.324138683375338e-18,3.2526065174565133e-18
Half-Blood Prince ,-0.2446263791467706,0.8618131385703475,0.16250343203627673,-0.01908346701940277,-0.1413415418187562,-0.029606135593145344,-6.938893903907228e-18,1.1275702593849246e-17,8.239936510889834e-18,-1.3010426069826053e-18
Order of the Phoenix ,0.5618464821993489,-0.08709201341347361,0.02989514197155985,0.04668936661512207,-0.010767649574376268,-0.5584827488613616,-1.734723475976807e-18,6.071532165918825e-18,-4.607859233063394e-18,3.469446951953614e-18
Prisoner of Azkaban ,-0.40051402784526996,-0.3001670673474125,0.27875289774905543,0.6991229333873701,-0.08594924266099215,0.041129981023591604,-4.336808689942018e-18,3.0357660829594124e-18,3.686287386450715e-18,3.903127820947816e-18
Sorcerer's Stone ,-0.4946012854257211,-0.3482100685406831,0.3260944964363921,-0.6198325610560235,0.0031954013986546597,-0.05594184378673345,-6.071532165918825e-18,0.0,-1.214306433183765e-17,1.734723475976807e-18
